user_id,product_id,product_type,action,timestamp
1,4,jewelry,view,2026-04-02T15:58:28.528458+00:00
1,1,jewelry,view,2026-04-03T11:59:28.528458+00:00
1,9,jewelry,view,2026-04-04T03:36:28.528458+00:00
1,3,jewelry,click,2026-04-04T14:53:28.528458+00:00
1,6,jewelry,view,2026-04-05T03:59:28.528458+00:00
1,5,jewelry,click,2026-04-06T04:28:28.528458+00:00
1,7,jewelry,view,2026-04-06T15:21:28.528458+00:00
1,6,jewelry,click,2026-04-07T14:25:28.528458+00:00
1,5,jewelry,add_to_cart,2026-04-07T23:20:28.528458+00:00
1,4,jewelry,click,2026-04-08T05:43:28.528458+00:00
1,11,jewelry,add_to_cart,2026-04-09T02:23:28.528458+00:00
1,3,jewelry,view,2026-04-09T12:22:28.528458+00:00
1,4,jewelry,view,2026-04-09T14:36:28.528458+00:00
1,7,clothe,view,2026-04-09T23:40:28.528458+00:00
1,6,jewelry,view,2026-04-10T16:05:28.528458+00:00
1,2,clothe,view,2026-04-11T00:52:28.528458+00:00
1,4,jewelry,view,2026-04-11T20:17:28.528458+00:00
1,3,jewelry,click,2026-04-12T00:05:28.528458+00:00
1,4,jewelry,view,2026-04-12T22:32:28.528458+00:00
1,4,jewelry,add_to_cart,2026-04-13T15:48:28.528458+00:00
2,2,stationery,view,2026-03-24T18:50:28.528458+00:00
2,5,stationery,add_to_cart,2026-03-25T01:22:28.528458+00:00
2,11,electronic,view,2026-03-25T08:31:28.528458+00:00
2,9,stationery,add_to_cart,2026-03-26T04:51:28.528458+00:00
2,2,stationery,click,2026-03-26T15:06:28.528458+00:00
2,2,stationery,view,2026-03-27T07:58:28.528458+00:00
2,3,stationery,view,2026-03-28T00:33:28.528458+00:00
2,9,stationery,view,2026-03-28T08:32:28.528458+00:00
2,4,stationery,click,2026-03-28T22:14:28.528458+00:00
2,9,stationery,click,2026-03-29T06:28:28.528458+00:00
2,9,stationery,view,2026-03-29T14:28:28.528458+00:00
2,4,stationery,view,2026-03-29T17:23:28.528458+00:00
2,2,stationery,click,2026-03-30T00:57:28.528458+00:00
2,10,stationery,click,2026-03-30T09:47:28.528458+00:00
2,11,stationery,view,2026-03-31T00:09:28.528458+00:00
2,9,stationery,view,2026-03-31T21:50:28.528458+00:00
2,2,stationery,click,2026-04-01T02:05:28.528458+00:00
2,11,stationery,click,2026-04-01T11:34:28.528458+00:00
2,8,stationery,add_to_cart,2026-04-02T05:40:28.528458+00:00
2,1,stationery,add_to_cart,2026-04-02T13:50:28.528458+00:00
3,4,cosmetic,view,2026-03-23T03:39:28.528458+00:00
3,9,cosmetic,click,2026-03-23T19:48:28.528458+00:00
3,8,cosmetic,click,2026-03-24T13:51:28.528458+00:00
3,1,stationery,view,2026-03-25T06:23:28.528458+00:00
3,1,book,add_to_cart,2026-03-25T10:17:28.528458+00:00
3,7,cosmetic,click,2026-03-25T23:24:28.528458+00:00
3,10,jewelry,click,2026-03-26T19:29:28.528458+00:00
3,7,cosmetic,click,2026-03-27T04:42:28.528458+00:00
3,4,cosmetic,click,2026-03-28T03:23:28.528458+00:00
3,8,cosmetic,view,2026-03-28T23:59:28.528458+00:00
3,5,clothe,view,2026-03-29T09:07:28.528458+00:00
3,6,cosmetic,view,2026-03-30T01:00:28.528458+00:00
3,7,cosmetic,click,2026-03-30T23:52:28.528458+00:00
3,2,cosmetic,add_to_cart,2026-03-31T05:08:28.528458+00:00
3,7,cosmetic,view,2026-03-31T15:46:28.528458+00:00
3,7,cosmetic,click,2026-04-01T01:18:28.528458+00:00
3,1,cosmetic,view,2026-04-01T16:11:28.528458+00:00
3,8,cosmetic,click,2026-04-02T01:21:28.528458+00:00
3,9,stationery,add_to_cart,2026-04-02T19:21:28.528458+00:00
3,3,cosmetic,view,2026-04-03T07:58:28.528458+00:00
4,1,stationery,view,2026-04-01T20:04:28.528458+00:00
4,1,stationery,click,2026-04-02T10:43:28.528458+00:00
4,4,electronic,add_to_cart,2026-04-02T17:39:28.528458+00:00
4,3,stationery,click,2026-04-03T08:30:28.528458+00:00
4,4,stationery,view,2026-04-04T07:36:28.528458+00:00
4,3,stationery,view,2026-04-04T22:58:28.528458+00:00
